
VASEmethod[EllipsometerType=4, CompleteEASE=6.42, AcqTime=9.987, ZoneAve=1, Acq. Parameters=DEFAULT.parms,M2K=1, EID=1080092, Measurement Start Time=12/18/2020-09:55:15]
nm
uR	308.678	60.000	0.1805	1.0000
310.271	60.000	36.4175	127.0311	0.0320	0.0606
dPolE	310.271	60.000	0.9721	1.0000
uR	310.271	60.000	0.1820	1.0000
311.865	60.000	36.3272	127.0968	0.0319	0.0607
dPolE	311.865	60.000	1.8814	1.0000
uR	311.865	60.000	0.1830	1.0000
313.458	60.000	36.1535	127.2689	0.0319	0.0608
dPolE	313.458	60.000	0.0265	1.0000
uR	313.458	60.000	0.1851	1.0000
315.051	60.000	36.1138	127.7020	0.0316	0.0603
dPolE	315.051	60.000	0.4843	1.0000
uR	315.051	60.000	0.1864	1.0000
316.645	60.000	35.9770	127.7119	0.0323	0.0618
dPolE	316.645	60.000	0.6202	1.0000
uR	316.645	60.000	0.1868	1.0000
318.239	60.000	35.8571	127.9333	0.0318	0.0612
dPolE	318.239	60.000	0.9920	1.0000
uR	318.239	60.000	0.1881	1.0000
319.832	60.000	35.9048	128.2705	0.0312	0.0599
dPolE	319.832	60.000	1.2921	1.0000
uR	319.832	60.000	0.1881	1.0000
321.426	60.000	35.6553	128.5231	0.0322	0.0621
dPolE	321.426	60.000	0.7868	1.0000
uR	321.426	60.000	0.1880	1.0000
323.020	60.000	35.6505	128.7366	0.0314	0.0606
dPolE	323.020	60.000	1.0029	1.0000
uR	323.020	60.000	0.1885	1.0000
324.614	60.000	35.5882	128.7387	0.0316	0.0612
dPolE	324.614	60.000	1.1593	1.0000
uR	324.614	60.000	0.1886	1.0000
326.208	60.000	35.5575	129.1460	0.0313	0.0606
dPolE	326.208	60.000	0.2570	1.0000
uR	326.208	60.000	0.1888	1.0000
327.802	60.000	35.4392	129.2849	0.0325	0.0632
dPolE	327.802	60.000	0.9448	1.0000
uR	327.802	60.000	0.1885	1.0000
329.396	60.000	35.4234	129.5281	0.0322	0.0628
dPolE	329.396	60.000	0.6575	1.0000
uR	329.396	60.000	0.1889	1.0000
330.990	60.000	35.3850	129.6869	0.0316	0.0616
dPolE	330.990	60.000	0.4469	1.0000
uR	330.990	60.000	0.1892	1.0000
332.584	60.000	35.1950	130.0827	0.0328	0.0641
dPolE	332.584	60.000	1.0316	1.0000
uR	332.584	60.000	0.1889	1.0000
334.179	60.000	35.2918	130.3532	0.0322	0.0631
dPolE	334.179	60.000	0.4335	1.0000
uR	334.179	60.000	0.1893	1.0000
335.773	60.000	35.2362	130.4118	0.0364	0.0715
dPolE	335.773	60.000	0.9147	1.0000
uR	335.773	60.000	0.1885	1.0000
337.368	60.000	35.1117	130.6763	0.0512	0.1008
dPolE	337.368	60.000	0.3714	1.0000
uR	337.368	60.000	0.1871	1.0000
338.962	60.000	35.1852	130.6715	0.0660	0.1300
dPolE	338.962	60.000	4.0185	1.0000
uR	338.962	60.000	0.1887	1.0000
340.557	60.000	35.0441	131.2642	0.0504	0.0995
dPolE	340.557	60.000	0.8465	1.0000
uR	340.557	60.000	0.1955	1.0000
342.151	60.000	35.1401	131.4435	0.0367	0.0726
dPolE	342.151	60.000	1.6123	1.0000
uR	342.151	60.000	0.1937	1.0000
343.746	60.000	34.9379	131.7710	0.0333	0.0660
dPolE	343.746	60.000	1.2189	1.0000
uR	343.746	60.000	0.1926	1.0000
345.341	60.000	35.0853	132.0854	0.0330	0.0653
dPolE	345.341	60.000	-0.0596	1.0000
uR	345.341	60.000	0.1937	1.0000
346.936	60.000	35.0854	132.2139	0.0336	0.0666
dPolE	346.936	60.000	1.7134	1.0000
uR	346.936	60.000	0.1934	1.0000
348.531	60.000	35.0247	132.6318	0.0333	0.0661
dPolE	348.531	60.000	0.6217	1.0000
uR	348.531	60.000	0.1945	1.0000
350.125	60.000	35.0792	132.7753	0.0324	0.0644
dPolE	350.125	60.000	1.5667	1.0000
uR	350.125	60.000	0.1957	1.0000
351.721	60.000	35.0751	133.0670	0.0320	0.0636
dPolE	351.721	60.000	1.0068	1.0000
uR	351.721	60.000	0.1961	1.0000
353.316	60.000	35.1723	133.4283	0.0318	0.0630
dPolE	353.316	60.000	1.2473	1.0000
uR	353.316	60.000	0.1973	1.0000
354.911	60.000	35.1055	133.8130	0.0318	0.0634
